Wall time,Step,Value
1738699812.7757893,5220,2.07521390914917
1738699814.3818078,5234,2.312657117843628
1738699814.4966464,5235,2.213212013244629
1738699814.6117475,5236,2.294795036315918
1738699814.9557133,5239,1.8397045135498047
1738699840.4305892,5253,2.1822266578674316
1738699840.935292,5257,2.2047688961029053
1738699843.1690445,5275,2.092024564743042
1738699845.761667,5296,2.4027137756347656
1738699846.9386814,5306,2.201882839202881
1738699851.7101803,5325,1.960093379020691
1738699852.4514267,5329,1.8960987329483032
1738699852.944323,5333,2.197796583175659
1738699853.921694,5341,2.011582136154175
1738699854.8911448,5349,2.1229312419891357
1738699855.0122898,5350,1.7954127788543701
1738699855.8821926,5357,2.1885974407196045
1738699856.3674092,5361,2.0909829139709473
1738699856.6036751,5363,2.136942148208618
1738699857.9104185,5374,1.9643077850341797
1738699858.4869099,5379,1.813777208328247
1738699859.8667235,5391,2.349797010421753
1738699860.2116358,5394,1.8537299633026123
1738699864.1662986,5404,2.2526438236236572
1738699867.7156093,5433,2.094409465789795
1738699869.2954834,5446,2.5102243423461914
1738699870.11055,5453,2.217921018600464
1738699870.6918526,5458,2.0722246170043945
1738699871.1581657,5462,2.288013458251953
1738699871.3923678,5464,1.7549824714660645
1738699871.7446377,5467,2.1482362747192383
1738699875.7878082,5478,2.1706185340881348
1738699877.2596164,5490,2.4930598735809326
1738699877.9916263,5496,1.959809422492981
1738699880.9077592,5520,2.054743766784668
1738699882.1798062,5531,1.9028867483139038
1738699882.2936668,5532,2.078068494796753
1738699883.2141442,5540,1.9419245719909668
1738699884.135967,5548,2.2265326976776123
1738699887.4731073,5554,2.590909004211426
1738699888.845819,5565,2.393629312515259
1738699889.80621,5573,2.3913559913635254
1738699891.2702823,5585,2.086463689804077
1738699893.2749083,5602,1.9963799715042114
1738699894.1951323,5610,1.8649320602416992
1738699894.427094,5612,2.4494707584381104
1738699895.3458412,5620,2.2832531929016113
1738699895.5775113,5622,1.9671016931533813
1738699920.17672,5629,2.242361068725586
1738699920.667134,5633,2.3461079597473145
1738699921.0443091,5636,2.2248806953430176
1738699923.4839065,5656,2.109410047531128
1738699925.9917276,5677,2.365774393081665
1738699926.78994,5684,2.3128888607025146
1738699927.3655899,5689,2.0039172172546387
1738699931.785109,5703,1.7398375272750854
1738699932.517131,5709,1.96610689163208
1738699933.6218438,5718,2.4038867950439453
1738699933.8683264,5720,2.2515885829925537
1738699934.3557076,5724,2.206160545349121
1738699934.591081,5726,2.042104721069336
1738699935.438261,5733,1.9928878545761108
1738699935.5586872,5734,2.1690313816070557
1738699937.8344765,5753,2.266413450241089
1738699938.9963934,5763,2.174954652786255
1738699939.3441052,5766,2.0867481231689453
1738699939.4596195,5767,2.621882677078247
1738699939.5762205,5768,1.5905698537826538
1738699944.2410474,5784,2.2705111503601074
1738699945.0909622,5791,2.288151979446411
1738699945.579156,5795,2.3166921138763428
1738699946.4463663,5802,2.0755832195281982
1738699947.1870768,5808,2.1131651401519775
1738699949.9405537,5831,2.5863585472106934
1738699950.2906058,5834,2.0278258323669434
1738699950.5227664,5836,2.2281315326690674
1738699950.7540083,5838,2.599513053894043
1738699957.7946339,5874,2.0350465774536133
1738699958.2853944,5878,2.0101206302642822
1738699958.5340745,5880,1.9750370979309082
1738699961.0517776,5901,2.328294038772583
1738699962.551882,5914,2.190856695175171
1738699963.4716456,5922,2.069268226623535
1738699965.9603844,5925,2.4918084144592285
1738699966.4082048,5926,2.0770297050476074
1738699967.0045674,5929,2.200629949569702
1738699968.218436,5939,1.9209942817687988
1738699968.4578235,5941,2.3617966175079346
1738699969.0693502,5946,1.9597227573394775
1738699969.7968946,5952,2.106736421585083
1738699971.0042875,5962,2.5147199630737305
1738699971.1231513,5963,2.5161170959472656
1738699971.4758434,5966,2.1631195545196533
1738699972.4247432,5974,2.159515380859375
1738699975.293866,5999,2.400197744369507
1738700002.361311,6024,1.9640105962753296
1738700003.3379614,6032,2.0962777137756348
1738700005.8957195,6053,2.411895513534546
1738700006.1318846,6055,2.2199463844299316
1738700006.5959854,6059,1.9886149168014526
1738700006.710408,6060,2.3994178771972656
1738700007.5172162,6067,2.3523976802825928
1738700008.0950274,6072,2.30841064453125
1738700015.8996973,6112,2.3705694675445557
1738700019.3257103,6141,1.8203953504562378
1738700024.2209952,6158,2.0089643001556396
1738700024.5777967,6161,1.954615831375122
1738700027.653295,6186,2.2140235900878906
1738700028.6458764,6194,1.9717499017715454
1738700029.3563569,6200,2.092676877975464
1738700036.5438771,6237,2.29905104637146
1738700036.664834,6238,2.388446807861328
1738700037.2810483,6243,2.028595209121704
1738700038.2715838,6251,1.9541022777557373
1738700038.6430402,6254,2.477663040161133
1738700038.7691047,6255,2.3659746646881104
1738700038.8926327,6256,2.309997320175171
1738700039.376476,6260,2.323770046234131
1738700041.6374373,6279,2.230076789855957
1738700042.325103,6285,2.074406862258911
1738700043.2435546,6293,2.17409610748291
1738700043.5878918,6296,2.129735231399536
1738700046.0746248,6300,1.9090533256530762
